"x","y","class"
-1.1831372273445,-0.600055418000265,"0"
-1.47023532973705,-0.624087353198876,"0"
-1.1151919228687,-0.409800818439958,"0"
-1.06925030337201,-1.12248342008552,"0"
-1.17079399499306,-0.749795913069318,"0"
-1.63618309123572,-0.912751447271852,"0"
-0.756480286000219,-0.900268869406461,"0"
-2.29222869925472,-0.590624245590799,"0"
-0.941342678371353,-1.12779325050544,"0"
-0.649616040321253,-0.832580545174226,"0"
-1.30704008841887,-0.516970771773993,"0"
-1.1791014996923,-1.1915599755189,"0"
-0.904296558841369,-0.765154177898173,"0"
-2.16204819307179,-0.307426891839701,"0"
-1.36562734422986,-1.4443745823004,"0"
0.420835318365602,-1.52944593163559,"0"
-1.47001854169138,-1.43259599918154,"0"
-0.69691114673544,-1.08480766179246,"0"
-1.33200086463334,-0.38305447632831,"0"
-0.789852340140673,0.107582579985714,"0"
-0.773303535923991,-0.667646167255969,"0"
-1.20798345964242,-0.19584935802794,"0"
-0.128130474341111,-1.94760678906703,"0"
-0.605804858218021,-2.1831326475733,"0"
-0.775578149810069,-0.762804967217302,"0"
-0.0776099573289798,0.138197525517374,"0"
-1.00838868288336,-0.512212308329149,"0"
-1.31368664954063,-1.13705039901381,"0"
-0.973962041102804,-0.551133322652257,"0"
-0.931225175198397,-0.0203891999878383,"0"
-0.78455681151077,-0.551343019814884,"0"
-0.768779502770023,-1.50029688909874,"0"
-1.42286403314986,-1.09867693756326,"0"
-0.939779612552134,-1.31951377455467,"0"
-1.01825816591275,-0.627646176968029,"0"
-0.722346628566131,-0.785513957238994,"0"
-1.34994318352195,-0.71545359239576,"0"
-1.37650435078076,-1.35631507133711,"0"
-0.697057493703885,-0.469527486459009,"0"
-1.54719576754736,-0.749987131792072,"0"
-1.58905640687133,-1.02373874264171,"0"
-1.26108492360142,-0.61225355666307,"0"
-1.00552908996396,-1.69847466945876,"0"
-0.927597448138164,-1.35623090914185,"0"
-0.152167600379882,-0.875455679576227,"0"
-0.754177157041217,-1.19867748986788,"0"
-0.859933023984221,-1.76305195784414,"0"
-0.845890141343288,-1.51106195478921,"0"
-0.886967356979485,-0.130307067320868,"0"
-0.576712918681539,-0.888474540952039,"0"
-1.20751085412543,-1.4920678710795,"0"
-0.712368947951613,-0.781140796904514,"0"
-0.775503681374261,-2.06372898026988,"0"
-1.51169596360321,-1.25983772303743,"0"
-1.91830704391427,-1.49262615552989,"0"
-0.74963634494429,-1.22206100633301,"0"
-0.874196394244388,-0.974253428850971,"0"
-1.58420703202069,-1.09533286410934,"0"
-1.09263940747076,-0.91451948091756,"0"
-0.393971446554703,-0.928078325484959,"0"
-1.43046376504722,-1.6763206269106,"0"
-1.16739275641685,-1.26098515852842,"0"
-1.02913555243458,-1.37589083684407,"0"
-0.70531671541179,-1.09382652489219,"0"
0.32331257447716,-0.598375473548896,"0"
-1.35824817589815,-0.0387319113924731,"0"
-0.878422281138839,-1.19644719170401,"0"
-1.78929503992445,-1.25896925045676,"0"
-0.751574200136758,-1.01789552209529,"0"
-0.876684528118746,-0.978366730705026,"0"
-0.858388131084282,-0.85681855720911,"0"
-1.33641962234793,-1.21324591113589,"0"
-1.32962395359052,-1.28091030543001,"0"
-0.947023126893981,-0.436842317665685,"0"
-1.18931723010773,-1.58810954740049,"0"
-0.900909753727991,-0.426059830159723,"0"
-0.861139893394433,-1.23976720181756,"0"
-0.325904042880782,-1.4221888271819,"0"
-0.829525295287404,-1.10954778776544,"0"
-0.252847947356073,-1.64429675199477,"0"
-0.688078922729352,-0.385777037525128,"0"
-0.823499993510503,-1.44412035978159,"0"
-0.799732553625578,-0.749455164348374,"0"
-0.972200295790903,-0.848807441243807,"0"
-1.66256639881759,-1.58657571006421,"0"
-1.66464828650075,-1.51646116228988,"0"
-0.952471590709141,-0.903037712553452,"0"
-0.88190882877315,-1.72090148281948,"0"
-0.967483107325071,-1.4598515433207,"0"
-1.08542136949576,-0.806694942865024,"0"
-0.993877599248479,-0.778634267845957,"0"
-1.21859023005417,-0.055447087301717,"0"
-0.919327980247494,-1.68179355829486,"0"
-1.26877463705318,-1.08869564668468,"0"
-0.617425444239948,-0.666910926158971,"0"
-1.63862084768948,-0.575978383063653,"0"
-0.795933334432637,-1.002300428237,"0"
-1.36987525593334,-0.471673926753468,"0"
-0.811287039052753,-1.35836395864818,"0"
-0.352987851059731,-0.25521164162605,"0"
-2.20661174704032,-0.695268062051605,"0"
-0.776426797550386,-1.05954302735097,"0"
-1.35013100119277,-1.18074789190317,"0"
-1.77325086071096,-2.09344646453143,"0"
-1.25733660720122,-1.00800650089544,"0"
-0.979214757663628,-1.79799440040146,"0"
-0.662061108446795,-1.52530890138399,"0"
-0.889619076290813,-1.57426869537102,"0"
-0.665476037423259,-1.7853465306333,"0"
-0.1323733158893,-1.88180957838217,"0"
-1.52562206938904,-1.65472979519996,"0"
-1.02569246626642,-1.47527605979977,"0"
-0.593709202567945,-0.302098190263745,"0"
-1.22441255480848,-1.65205882440396,"0"
0.00212905936102747,-0.374381082065867,"0"
-1.22489442643197,-1.12737053922025,"0"
-1.07500561400539,-1.64255309976067,"0"
0.0554956731387264,-0.753510385428862,"0"
-0.358174293057882,-0.281133275445768,"0"
-1.87848533366444,-1.25605891035467,"0"
-0.991770288920761,-1.80708182045188,"0"
-0.758433738324529,-0.574342652769783,"0"
-1.45718870960514,-1.47029885279996,"0"
-0.866231628049485,-0.822723666677198,"0"
-0.218083172906035,-1.3535117853546,"0"
-0.994210875944142,-1.07552290347069,"0"
-0.0318533042651418,-0.723780683287828,"0"
-0.985349615049187,-1.23653600182665,"0"
-0.776932462812834,-1.12705399716451,"0"
-0.818308493430489,-1.94483233152616,"0"
-1.20237183862108,-0.564752396946992,"0"
-1.62986467911586,-0.617784565324999,"0"
-1.09779169808811,-1.19481537154554,"0"
-1.43982243451055,-0.985898358333464,"0"
-1.44241230682407,-0.745649453439318,"0"
-1.08259753070119,-1.63071426669596,"0"
-0.428441385298594,-0.560632840167246,"0"
-1.38090343494239,-1.58946445232186,"0"
-1.17676941671675,-1.0496814863791,"0"
-0.381169576650097,-1.33454304395833,"0"
-0.574603715103096,-1.18866204934131,"0"
-1.73113750167232,-1.44506180199034,"0"
-0.922572116132441,-2.3886406856529,"0"
-1.53843173921855,-1.13795623264658,"0"
-1.60463176866784,-0.410868372956181,"0"
-0.600689944844357,-0.777240579455307,"0"
-0.738727106919252,-0.20659084095379,"0"
-1.09482421295472,0.0229993695299164,"0"
-1.41669601192729,-1.95425689121264,"0"
-1.40690420078394,-1.03542317886114,"0"
0.236560625036231,-0.649283547149124,"0"
-1.16090431036035,-1.66070765546649,"0"
-1.249692315627,-1.1623906587757,"0"
-0.641155431150853,-0.688903164493042,"0"
-1.02371329157921,-1.48296473299091,"0"
-0.956341221219472,-0.801364581773505,"0"
-1.51018298699918,-2.16662627104735,"0"
-1.15414838593366,-0.161085797482816,"0"
-0.12911700794264,-0.559542272502304,"0"
-0.401812448079619,-0.829056693446854,"0"
