2,3,8.0,10.6
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
2,3,8.4,12.2
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
4,3,8.4,11.0
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,3,11.6,10.3
8,17,8.0,13.0
16,3,9.2,10.5
16,3,9.2,10.5
16,3,9.2,10.5
16,3,9.2,10.5
16,3,9.2,10.5
16,3,9.2,10.5
16,3,9.2,10.5
16,3,9.2,10.5
16,17,2.0,13.2
16,17,2.0,13.2
16,17,2.0,13.2
16,17,2.0,13.2
16,17,2.0,13.2
16,17,2.0,13.2
16,17,2.0,13.2
16,17,2.0,13.2
16,17,2.0,13.2
16,17,2.0,13.2
16,17,2.0,13.2
16,17,2.0,13.2
32,23,2.8,14.0
32,23,2.8,14.0
32,23,2.8,14.0
32,27,0.8,12.9
32,27,0.8,12.9
32,27,0.8,12.9
32,27,0.8,12.9
32,27,0.8,12.9
32,27,0.8,12.9
32,23,3.2,14.2
32,23,3.2,14.2
32,23,3.2,14.2
32,23,3.2,14.2
32,23,3.2,14.2
32,23,3.2,14.2
32,23,3.2,14.2
32,27,1.2,13.4
32,27,1.2,13.4
32,27,1.2,13.4
32,27,1.2,13.4
